profID,layer_thickness,density_combined,wl_index,wl_thickness,layers_above_wl,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,approximate_critical_loads,density_above_wl,snow_profiles,RB_class,region,nbr_layers,layers_above_wl,density_above_wl
10026,"[20.0, 15.0, 1.0, 23.0, 1.0, 3.0, 23.0, 6.0, 9.0, 1.0, 7.0, 8.0, 1.0, 6.0, 11.0, 1.0, 0.6999999999999886, 0.5, 0.5, 0.30000000000001137, 3.0, 14.0, 4.900000000000006, 0.09999999999999432]","[175.0, 171.125, 292.25, 154.0, 292.25, 154.0, 233.59391954305838, 175.0, 133.0, 270.1875, 184.80248685625125, 154.0, 292.25, 151.75, 158.0618667919715, 149.8825, 141.8825, 114.6275, 159.80269941693467, 96.0, 159.80269941693467, 149.3118667919715, 159.80269941693467, 167.40359922257957]",11,8.0,"[1.0, 6.0, 11.0, 1.0, 0.6999999999999886, 0.5, 0.5, 0.30000000000001137, 3.0, 14.0, 4.900000000000006, 0.09999999999999432]","[20.0, 35.0, 36.0, 59.0, 60.0, 63.0, 86.0, 92.0, 101.0, 102.0, 109.0, 117.0, 118.0, 124.0, 135.0, 136.0, 136.7, 137.2, 137.7, 138.0, 141.0, 155.0, 159.9, 160.0]","[0.0, 20.0, 35.0, 36.0, 59.0, 60.0, 63.0, 86.0, 92.0, 101.0, 102.0, 109.0, 117.0, 118.0, 124.0, 135.0, 136.0, 136.7, 137.2, 137.7, 138.0, 141.0, 155.0, 159.9]","[2.0, 1.5, 2.0, 1.5, 2.0, 1.5, 3.5, 2.0, 1.0, 2.0, 2.5, 1.5, 3.0, 1.0, 1.5, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.5, 2.0, 2.0]","[9, 9, 7, 9, 7, 9, 3, 9, 9, 7, 3, 9, 7, 4, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3]","[9, 5, 7, 9, 7, 9, 9, 9, 9, 4, 9, 9, 7, 9, 9, 9, 2, 3, 2, 1, 2, 2, 2, 3]","[1.0, 1.0, 1.0, 1.5, 1.0, 1.0, 0.5, 0.75, 1.0, 1.0, 0.5, 0.75, 1.0, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.25, 0.25, 0.25]","[1.5, 2.0, 2.0, 2.5, 1.0, 1.5, 1.0, 1.25, 1.5, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 2.0, 1.0, 0.75, 0.75, 0.25]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2007-02-16 10:00,30.0,5,1.0,117.0,2.0,2.0,197.7469839309005,"[292.25, 151.75, 158.0618667919715, 149.8825, 141.8825, 114.6275, 159.80269941693467, 96.0, 159.80269941693467, 149.3118667919715, 159.80269941693467, 167.40359922257957]","[(292.25, 10.0), (151.75, 60.0), (158.0618667919715, 110.0), (149.8825, 10.0), (141.8825, 6.999999999999886), (114.6275, 5.0), (159.80269941693467, 5.0), (96.0, 3.0000000000001137), (159.80269941693467, 30.0), (149.3118667919715, 140.0), (159.80269941693467, 49.00000000000006), (167.40359922257957, 0.9999999999999432)]",2.0,1,12,"[1.0, 6.0, 11.0, 1.0, 0.6999999999999886, 0.5, 0.5, 0.30000000000001137, 3.0, 14.0, 4.900000000000006, 0.09999999999999432]","[292.25, 151.75, 158.0618667919715, 149.8825, 141.8825, 114.6275, 159.80269941693467, 96.0, 159.80269941693467, 149.3118667919715, 159.80269941693467, 167.40359922257957]"
10167,"[15.0, 28.0, 17.0, 10.0, 0.7000000000000028, 0.29999999999999716, 6.0, 13.0, 7.0, 1.0, 9.0, 6.299999999999997, 0.5, 0.20000000000000284, 9.0, 13.699999999999989, 0.30000000000001137, 1.5, 1.5, 5.0, 1.0, 0.09999999999999432, 11.900000000000006, 3.5, 0.5]","[171.125, 152.25, 238.0, 154.0, 133.0, 292.25, 133.0, 154.0, 196.0, 174.25, 202.0738495144293, 181.06998247500167, 176.55269941693467, 136.8825, 159.80269941693467, 101.0, 101.0, 141.8825, 292.25, 167.40359922257957, 114.6275, 96.0, 141.8825, 167.40359922257957, 144.3118667919715]",9,1.0,"[9.0, 6.299999999999997, 0.5, 0.20000000000000284, 9.0, 13.699999999999989, 0.30000000000001137, 1.5, 1.5, 5.0, 1.0, 0.09999999999999432, 11.900000000000006, 3.5, 0.5]","[15.0, 43.0, 60.0, 70.0, 70.7, 71.0, 77.0, 90.0, 97.0, 98.0, 107.0, 113.3, 113.8, 114.0, 123.0, 136.7, 137.0, 138.5, 140.0, 145.0, 146.0, 146.1, 158.0, 161.5, 162.0]","[0.0, 15.0, 43.0, 60.0, 70.0, 70.7, 71.0, 77.0, 90.0, 97.0, 98.0, 107.0, 113.3, 113.8, 114.0, 123.0, 136.7, 137.0, 138.5, 140.0, 145.0, 146.0, 146.1, 158.0, 161.5]","[1.5, 1.0, 3.5, 1.5, 1.0, 2.0, 1.0, 1.5, 2.5, 1.5, 3.0, 2.5, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.5, 2.0, 1.0, 1.0, 1.0, 2.0, 1.5]","[9, 9, 9, 9, 9, 7, 9, 9, 9, 4, 3, 3, 3, 3, 3, 2, 2, 3, 7, 3, 2, 2, 3, 3, 3]","[5, 5, 9, 9, 9, 7, 9, 9, 9, 9, 3, 3, 4, 1, 2, 2, 2, 2, 7, 3, 3, 1, 2, 3, 1]","[2.0, 1.5, 0.75, 1.0, 1.0, 1.0, 1.0, 0.75, 0.75, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.5, 1.0, 0.5, 0.25, 0.5]","[3.0, 2.5, 1.5, 1.5, 2.0, 2.0, 1.0, 1.25, 1.0, 1.5, 0.5, 0.5, 0.75, 2.0, 0.75, 1.25, 1.0, 1.0, 0.25, 0.5, 1.0, 1.5, 0.75, 0.5, 2.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2007-03-06 10:00,18.0,6,2.0,98.0,3.0,2.3,439.4377420686678,"[202.0738495144293, 181.06998247500167, 176.55269941693467, 136.8825, 159.80269941693467, 101.0, 101.0, 141.8825, 292.25, 167.40359922257957, 114.6275, 96.0, 141.8825, 167.40359922257957, 144.3118667919715]","[(202.0738495144293, 90.0), (181.06998247500167, 62.99999999999997), (176.55269941693467, 5.0), (136.8825, 2.0000000000000284), (159.80269941693467, 90.0), (101.0, 136.9999999999999), (101.0, 3.0000000000001137), (141.8825, 15.0), (292.25, 15.0), (167.40359922257957, 50.0), (114.6275, 10.0), (96.0, 0.9999999999999432), (141.8825, 119.00000000000006), (167.40359922257957, 35.0), (144.3118667919715, 5.0)]",3.0,1,15,"[9.0, 6.299999999999997, 0.5, 0.20000000000000284, 9.0, 13.699999999999989, 0.30000000000001137, 1.5, 1.5, 5.0, 1.0, 0.09999999999999432, 11.900000000000006, 3.5, 0.5]","[202.0738495144293, 181.06998247500167, 176.55269941693467, 136.8825, 159.80269941693467, 101.0, 101.0, 141.8825, 292.25, 167.40359922257957, 114.6275, 96.0, 141.8825, 167.40359922257957, 144.3118667919715]"
10177,"[23.0, 15.0, 7.0, 4.0, 17.0, 2.0, 4.0, 4.0, 6.0, 8.0, 2.0, 4.700000000000003, 0.29999999999999716, 5.0, 2.0, 10.0, 2.0]","[152.25, 238.0, 152.25, 177.25, 154.0, 292.25, 129.75, 292.25, 159.80269941693467, 141.8825, 292.25, 155.51, 114.6275, 141.8825, 292.25, 86.0, 142.0]",5,2.0,"[4.0, 4.0, 6.0, 8.0, 2.0, 4.700000000000003, 0.29999999999999716, 5.0, 2.0, 10.0, 2.0]","[23.0, 38.0, 45.0, 49.0, 66.0, 68.0, 72.0, 76.0, 82.0, 90.0, 92.0, 96.7, 97.0, 102.0, 104.0, 114.0, 116.0]","[0.0, 23.0, 38.0, 45.0, 49.0, 66.0, 68.0, 72.0, 76.0, 82.0, 90.0, 92.0, 96.7, 97.0, 102.0, 104.0, 114.0]","[1.0, 3.5, 1.0, 2.0, 1.5, 4.0, 1.0, 3.5, 2.0, 1.0, 2.5, 1.0, 1.0, 1.0, 3.5, 1.0, 2.0]","[9, 9, 9, 9, 9, 7, 9, 7, 3, 3, 7, 3, 2, 3, 7, 1, 2]","[5, 9, 5, 7, 9, 7, 7, 7, 2, 2, 7, 3, 3, 2, 7, 2, 0]","[2.0, 0.75, 1.5, 1.0, 1.0, 1.0, 1.0, 0.75, 0.25, 0.5, 0.75, 0.25, 0.5, 0.5, 0.5, 1.0, 0.5]","[3.0, 1.25, 2.5, 2.0, 2.0, 2.0, 2.0, 1.5, 0.75, 1.0, 1.0, 0.5, 1.5, 0.75, 1.0, 2.0, 2.0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",2007-03-08 10:00,23.0,5,2.0,68.0,3.0,2.0,197.7469839309005,"[129.75, 292.25, 159.80269941693467, 141.8825, 292.25, 155.51, 114.6275, 141.8825, 292.25, 86.0, 142.0]","[(129.75, 40.0), (292.25, 40.0), (159.80269941693467, 60.0), (141.8825, 80.0), (292.25, 20.0), (155.51, 47.00000000000003), (114.6275, 2.9999999999999716), (141.8825, 50.0), (292.25, 20.0), (86.0, 100.0), (142.0, 20.0)]",3.0,1,11,"[4.0, 4.0, 6.0, 8.0, 2.0, 4.700000000000003, 0.29999999999999716, 5.0, 2.0, 10.0, 2.0]","[129.75, 292.25, 159.80269941693467, 141.8825, 292.25, 155.51, 114.6275, 141.8825, 292.25, 86.0, 142.0]"
10198,"[42.5, 2.5, 12.0, 4.0, 22.0, 5.0, 13.0, 14.0, 1.0, 20.0, 12.0, 15.5, 1.5, 6.0, 13.0, 10.0, 7.0, 3.0, 14.0]","[171.125, 275.9375, 152.25, 175.0, 154.0, 238.0, 175.0, 184.80248685625125, 158.0618667919715, 232.12522605741117, 202.0738495144293, 159.80269941693467, 154.1868667919715, 181.06998247500167, 149.3118667919715, 159.80269941693467, 115.25, 149.3118667919715, 114.6275]",13,6.0,"[13.0, 10.0, 7.0, 3.0, 14.0]","[42.5, 45.0, 57.0, 61.0, 83.0, 88.0, 101.0, 115.0, 116.0, 136.0, 148.0, 163.5, 165.0, 171.0, 184.0, 194.0, 201.0, 204.0, 218.0]","[0.0, 42.5, 45.0, 57.0, 61.0, 83.0, 88.0, 101.0, 115.0, 116.0, 136.0, 148.0, 163.5, 165.0, 171.0, 184.0, 194.0, 201.0, 204.0]","[1.5, 2.5, 1.0, 2.0, 1.5, 3.5, 2.0, 2.5, 1.5, 3.5, 3.0, 2.0, 1.5, 2.5, 1.5, 2.0, 1.0, 1.5, 1.0]","[9, 7, 9, 9, 9, 9, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2]","[5, 4, 5, 9, 9, 9, 9, 9, 9, 3, 3, 2, 0, 3, 2, 2, 4, 2, 3]","[2.0, 1.0, 1.5, 1.0, 1.0, 0.75, 0.75, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[3.0, 2.0, 2.5, 2.0, 1.5, 1.0, 1.5, 1.0, 1.0, 0.5, 0.5, 1.0, 2.0, 0.5, 0.75, 0.75, 1.0, 1.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2007-03-14 10:00,34.0,5,2.0,171.0,3.0,2.0,197.7469839309005,"[149.3118667919715, 159.80269941693467, 115.25, 149.3118667919715, 114.6275]","[(149.3118667919715, 130.0), (159.80269941693467, 100.0), (115.25, 70.0), (149.3118667919715, 30.0), (114.6275, 140.0)]",3.0,1,5,"[13.0, 10.0, 7.0, 3.0, 14.0]","[149.3118667919715, 159.80269941693467, 115.25, 149.3118667919715, 114.6275]"
12590,"[45.0, 25.0, 20.0, 15.0, 15.0]","[180.26846237860732, 155.0, 137.0, 119.0, 81.0]",3,15.0,[15.0],"[45.0, 70.0, 90.0, 105.0, 120.0]","[0.0, 45.0, 70.0, 90.0, 105.0]","[3.0, 2.5, 2.0, 1.5, 1.0]","[2, 2, 2, 2, 1]","[3, 2, 2, 2, 1]","[0.25, 0.5, 0.5, 0.5, 1.0]","[0.5, 0.75, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0]",2007-11-12 09:00,37.0,2,1.0,105.0,1.0,3.0,80.0,[81.0],"[(81.0, 150.0)]",1.0,1,1,[15.0],[81.0]
13330,"[10.0, 30.0, 18.0, 48.0, 1.0]","[171.0, 192.55248685625125, 144.6008998056449, 180.26846237860732, 120.0]",2,18.0,"[48.0, 1.0]","[10.0, 40.0, 58.0, 106.0, 107.0]","[0.0, 10.0, 40.0, 58.0, 106.0]","[1.0, 2.5, 2.0, 3.0, 1.0]","[4, 3, 2, 2, 7]","[5, 4, 3, 3, 7]","[1.5, 0.5, 0.5, 0.5, 1.0]","[2.5, 1.0, 1.25, 1.0, 1.5]","[0, 0, 0, 0, 0]",2007-11-21 12:00,39.0,4,1.0,58.0,2.0,2.3,131.83132262060033,"[180.26846237860732, 120.0]","[(180.26846237860732, 480.0), (120.0, 10.0)]",2.0,1,2,"[48.0, 1.0]","[180.26846237860732, 120.0]"
13731,"[5.0, 5.0, 62.0, 32.0, 4.0, 6.0, 10.0, 0.5, 0.5]","[190.0, 250.0, 272.9777961056527, 242.34391954305838, 158.0, 214.05538713582197, 129.10395559732385, 81.0, 101.0]",4,4.0,"[6.0, 10.0, 0.5, 0.5]","[5.0, 10.0, 72.0, 104.0, 108.0, 114.0, 124.0, 124.5, 125.0]","[0.0, 5.0, 10.0, 72.0, 104.0, 108.0, 114.0, 124.0, 124.5]","[2.0, 3.0, 4.0, 3.5, 1.0, 3.0, 1.5, 1.0, 1.0]","[9, 4, 3, 3, 4, 3, 2, 1, 2]","[5, 4, 3, 4, 4, 4, 3, 1, 2]","[1.0, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5, 2.0, 0.5]","[2.0, 0.5, 0.5, 1.0, 1.0, 0.5, 1.0, 2.0, 1.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2007-11-30 10:00,36.0,5,2.0,108.0,3.0,2.0,197.7469839309005,"[214.05538713582197, 129.10395559732385, 81.0, 101.0]","[(214.05538713582197, 60.0), (129.10395559732385, 100.0), (81.0, 5.0), (101.0, 5.0)]",3.0,1,4,"[6.0, 10.0, 0.5, 0.5]","[214.05538713582197, 129.10395559732385, 81.0, 101.0]"
14210,"[25.0, 13.0, 3.0, 4.0, 10.0, 15.0, 11.0]","[308.0, 218.75, 281.6875, 158.0, 141.8825, 115.25, 110.25]",3,4.0,"[10.0, 15.0, 11.0]","[25.0, 38.0, 41.0, 45.0, 55.0, 70.0, 81.0]","[0.0, 25.0, 38.0, 41.0, 45.0, 55.0, 70.0]","[4.0, 2.5, 3.0, 1.0, 1.0, 1.0, 1.0]","[7, 7, 7, 4, 3, 0, 0]","[4, 4, 4, 4, 2, 2, 1]","[1.0, 1.0, 0.75, 0.75, 0.5, 1.0, 1.0]","[1.0, 2.0, 1.5, 1.25, 1.0, 2.0, 2.5]","[0, 0, 1, 0, 0, 0, 0]",2007-12-04 11:00,38.0,3,3.0,45.0,2.0,3.0,100.9123351677189,"[141.8825, 115.25, 110.25]","[(141.8825, 100.0), (115.25, 150.0), (110.25, 110.0)]",2.0,1,3,"[10.0, 15.0, 11.0]","[141.8825, 115.25, 110.25]"
14310,"[30.0, 25.0, 3.0, 1.0, 36.0, 4.0, 1.0]","[202.0738495144293, 173.1008998056449, 158.0, 292.25, 105.75, 105.75, 81.0]",1,25.0,"[3.0, 1.0, 36.0, 4.0, 1.0]","[30.0, 55.0, 58.0, 59.0, 95.0, 99.0, 100.0]","[0.0, 30.0, 55.0, 58.0, 59.0, 95.0, 99.0]","[3.0, 2.0, 1.0, 2.5, 1.0, 1.0, 1.0]","[3, 9, 4, 7, 2, 2, 1]","[3, 3, 4, 7, 0, 0, 1]","[0.5, 0.5, 1.0, 1.0, 0.2, 0.2, 3.0]","[0.75, 1.0, 1.5, 1.0, 1.0, 1.0, 4.0]","[0, 0, 0, 1, 0, 0, 0]",2007-12-05 11:00,33.0,1,1.0,55.0,1.0,3.0,0.0,"[158.0, 292.25, 105.75, 105.75, 81.0]","[(158.0, 30.0), (292.25, 10.0), (105.75, 360.0), (105.75, 40.0), (81.0, 10.0)]",1.0,1,5,"[3.0, 1.0, 36.0, 4.0, 1.0]","[158.0, 292.25, 105.75, 105.75, 81.0]"
14970,"[5.0, 21.0, 12.0, 26.0, 17.0, 8.0, 1.0, 10.0, 13.0, 3.0, 16.0, 4.0, 4.0]","[252.5, 313.625, 220.0, 262.78130651435276, 290.2444490264132, 181.0, 214.05538713582197, 194.80538713582197, 161.51749561875042, 129.10395559732385, 167.40359922257957, 86.0, 149.3118667919715]",5,8.0,"[1.0, 10.0, 13.0, 3.0, 16.0, 4.0, 4.0]","[5.0, 26.0, 38.0, 64.0, 81.0, 89.0, 90.0, 100.0, 113.0, 116.0, 132.0, 136.0, 140.0]","[0.0, 5.0, 26.0, 38.0, 64.0, 81.0, 89.0, 90.0, 100.0, 113.0, 116.0, 132.0, 136.0]","[3.0, 4.5, 2.0, 3.5, 4.0, 1.5, 3.0, 3.0, 2.5, 1.5, 2.0, 1.0, 1.5]","[4, 4, 5, 4, 4, 4, 3, 3, 2, 2, 3, 1, 3]","[5, 5, 9, 3, 3, 4, 4, 2, 3, 3, 3, 2, 2]","[2.0, 1.0, 2.0, 1.0, 0.5, 1.0, 0.5, 0.25, 1.0, 0.5, 0.25, 1.0, 0.5]","[2.0, 2.0, 3.0, 1.0, 1.0, 2.5, 1.0, 0.5, 1.0, 0.5, 0.25, 1.5, 0.5]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2007-12-14 14:00,35.0,4,1.0,89.0,2.0,1.0,131.83132262060033,"[214.05538713582197, 194.80538713582197, 161.51749561875042, 129.10395559732385, 167.40359922257957, 86.0, 149.3118667919715]","[(214.05538713582197, 10.0), (194.80538713582197, 100.0), (161.51749561875042, 130.0), (129.10395559732385, 30.0), (167.40359922257957, 160.0), (86.0, 40.0), (149.3118667919715, 40.0)]",2.0,1,7,"[1.0, 10.0, 13.0, 3.0, 16.0, 4.0, 4.0]","[214.05538713582197, 194.80538713582197, 161.51749561875042, 129.10395559732385, 167.40359922257957, 86.0, 149.3118667919715]"
