profID,layer_thickness,density_combined,wl_index,wl_thickness,layers_above_wl,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,approximate_critical_loads,density_above_wl,snow_profiles,RB_class,region,nbr_layers,trunc_layers_above_wl,trunc_density_above_wl
10020,"[10.0, 40.0, 36.0, 2.0, 4.0, 3.0, 25.0, 15.0, 5.0, 15.0, 38.0, 12.0]","[187.5, 148.5, 214.05538713582197, 292.25, 440.0, 292.25, 202.0738495144293, 167.40359922257957, 292.25, 202.0738495144293, 167.40359922257957, 101.0]",8,5.0,"[15.0, 38.0, 12.0]","[10.0, 50.0, 86.0, 88.0, 92.0, 95.0, 120.0, 135.0, 140.0, 155.0, 193.0, 205.0]","[0.0, 10.0, 50.0, 86.0, 88.0, 92.0, 95.0, 120.0, 135.0, 140.0, 155.0, 193.0]","[1.0, 1.0, 3.0, 3.5, 6.0, 4.0, 3.0, 2.0, 4.0, 3.0, 2.0, 1.0]","[5, 4, 3, 7, 8, 7, 3, 3, 7, 3, 3, 2]","[7, 7, 4, 7, 8, 7, 3, 3, 7, 3, 3, 2]","[2.0, 1.5, 1.0, 3.0, nan, 3.0, 0.5, 0.5, 2.0, 0.5, 0.5, 1.0]","[3.0, 2.0, 1.0, 4.0, nan, 4.0, 0.5, 0.75, 3.0, 0.5, 0.5, 1.0]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",2007-02-16 09:15,38,3,1.0,140.0,1.0,3.0,100.9123351677189,"[202.0738495144293, 167.40359922257957, 101.0]","[(202.0738495144293, 150.0), (167.40359922257957, 380.0), (101.0, 120.0)]",1.0,2,3,"[15.0, 38.0, 12.0]","[202.0738495144293, 167.40359922257957, 101.0]"
14290,"[42.0, 2.5, 0.5, 10.0, 6.0, 2.0, 12.0]","[292.25, 158.0, 292.25, 144.6008998056449, 122.0, 81.0, 117.0]",5,2.0,[12.0],"[42.0, 44.5, 45.0, 55.0, 61.0, 63.0, 75.0]","[0.0, 42.0, 44.5, 45.0, 55.0, 61.0, 63.0]","[5.0, 1.0, 4.5, 2.0, 2.0, 1.0, 2.0]","[7, 4, 7, 2, 1, 1, 1]","[7, 4, 7, 3, 2, 1, 1]","[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]","[3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[1, 0, 1, 0, 0, 0, 0]",2007-12-04 14:45,28,2,1.0,63.0,1.0,3.0,80.0,[117.0],"[(117.0, 120.0)]",1.0,2,1,[12.0],[117.0]
14670,"[8.0, 31.0, 3.0, 2.0, 17.0, 14.0, 15.0]","[175.0, 292.25, 158.0, 305.1875, 96.0, 194.80538713582197, 232.12522605741117]",4,17.0,"[14.0, 15.0]","[8.0, 39.0, 42.0, 44.0, 61.0, 75.0, 90.0]","[0.0, 8.0, 39.0, 42.0, 44.0, 61.0, 75.0]","[2.0, 3.5, 1.0, 4.5, 1.0, 3.0, 3.5]","[9, 7, 4, 7, 2, 3, 3]","[9, 7, 4, 8, 1, 2, 3]","[0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25]","[1.5, 1.5, 2.0, 1.5, 1.0, 0.5, 0.25]","[0, 1, 0, 1, 0, 0, 0]",2007-12-13 14:00,32,3,1.0,61.0,1.0,3.0,100.9123351677189,"[194.80538713582197, 232.12522605741117]","[(194.80538713582197, 140.0), (232.12522605741117, 150.0)]",1.0,2,2,"[14.0, 15.0]","[194.80538713582197, 232.12522605741117]"
15110,"[5.0, 9.0, 24.0, 22.0, 18.0, 2.0]","[292.25, 151.75, 201.2813065143528, 180.26846237860732, 144.6008998056449, 101.0]",3,22.0,"[18.0, 2.0]","[5.0, 14.0, 38.0, 60.0, 78.0, 80.0]","[0.0, 5.0, 14.0, 38.0, 60.0, 78.0]","[4.5, 1.0, 3.5, 3.0, 2.0, 1.0]","[7, 4, 2, 2, 2, 2]","[7, 9, 3, 3, 3, 2]","[1.5, 2.0, 0.5, 0.75, 0.75, 1.0]","[2.0, 2.0, 0.5, 0.75, 1.0, 1.0]","[1, 0, 0, 0, 0, 0]",2007-12-14 11:00,33,2,2.0,65.0,1.0,3.0,80.0,"[144.6008998056449, 101.0]","[(144.6008998056449, 180.0), (101.0, 20.0)]",1.0,2,2,"[18.0, 2.0]","[144.6008998056449, 101.0]"
15731,"[30.0, 8.0, 7.0, 25.0, 17.0, 3.0, 8.0, 6.0]","[278.73334707923954, 250.0, 204.0, 272.9777961056527, 202.0738495144293, 157.3775, 167.40359922257957, 158.0]",-1,,[],"[30.0, 38.0, 45.0, 70.0, 87.0, 90.0, 98.0, 104.0]","[0.0, 30.0, 38.0, 45.0, 70.0, 87.0, 90.0, 98.0]","[4.0, 3.0, 2.0, 4.0, 3.0, 1.0, 2.0, 1.0]","[3, 4, 4, 3, 3, 4, 3, 4]","[4, 4, 4, 3, 3, 3, 3, 4]","[0.5, 0.5, 1.0, 0.25, 0.5, 0.5, 0.25, 0.5]","[0.75, 1.0, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2007-12-20 10:00,38,7,0.0,104.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
16070,"[33.0, 17.0, 14.0, 23.0, 7.0, 0.7999999999999972, 0.20000000000000284]","[181.0, 250.0, 204.0, 181.0, 215.51749561875042, 262.78130651435276, 140.0]",0,33.0,"[17.0, 14.0, 23.0, 7.0, 0.7999999999999972, 0.20000000000000284]","[33.0, 50.0, 64.0, 87.0, 94.0, 94.8, 95.0]","[0.0, 33.0, 50.0, 64.0, 87.0, 94.0, 94.8]","[1.5, 3.0, 2.0, 1.5, 2.5, 3.5, 1.0]","[4, 4, 4, 4, 4, 4, 6]","[4, 4, 4, 4, 3, 3, 6]","[1.0, 1.0, 1.0, 0.5, 0.25, 0.5, 1.0]","[3.0, 2.0, 2.0, 1.5, 1.0, 1.0, 2.0]","[0, 0, 0, 0, 0, 0, 0]",2007-12-27 10:10,35,6,3.0,33.0,3.0,1.0,439.4377420686678,"[250.0, 204.0, 181.0, 215.51749561875042, 262.78130651435276, 140.0]","[(250.0, 170.0), (204.0, 140.0), (181.0, 230.0), (215.51749561875042, 70.0), (262.78130651435276, 7.999999999999972), (140.0, 2.0000000000000284)]",3.0,2,6,"[17.0, 14.0, 23.0, 7.0, 0.7999999999999972, 0.20000000000000284]","[250.0, 204.0, 181.0, 215.51749561875042, 262.78130651435276, 140.0]"
16130,"[75.0, 35.0, 5.0, 10.0, 25.0]","[292.25, 202.0738495144293, 292.25, 144.6008998056449, 114.6275]",-1,,[],"[75.0, 110.0, 115.0, 125.0, 150.0]","[0.0, 75.0, 110.0, 115.0, 125.0]","[4.0, 3.0, 2.5, 2.0, 1.0]","[7, 3, 7, 2, 2]","[7, 3, 7, 3, 3]","[1.0, 0.5, 1.0, 0.5, 0.5]","[1.5, 0.5, 1.5, 0.5, 1.0]","[1, 0, 1, 0, 0]",2007-12-27 13:30,34,7,0.0,150.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
16331,"[7.0, 6.0, 10.0, 4.0, 2.0, 7.0, 1.0, 6.0, 10.0, 21.0, 3.5, 0.5]","[204.0, 250.0, 250.0, 204.0, 250.0, 204.0, 296.0, 204.0, 204.0, 204.0, 296.0, 140.0]",-1,,[],"[7.0, 13.0, 23.0, 27.0, 29.0, 36.0, 37.0, 43.0, 53.0, 74.0, 77.5, 78.0]","[0.0, 7.0, 13.0, 23.0, 27.0, 29.0, 36.0, 37.0, 43.0, 53.0, 74.0, 77.5]","[2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 4.0, 2.0, 2.0, 2.0, 4.0, 1.0]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6]","[1.0, 1.0, 1.0, 0.5, 1.5, 1.0, 2.0, 1.0, 1.0, 0.5, 0.5, 2.0]","[2.0, 2.0, 1.5, 1.0, 3.0, 1.0, 2.0, 2.0, 2.0, 1.0, 0.5, 4.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2007-12-29 09:15,36,7,0.0,78.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
16630,"[5.0, 35.0, 17.0, 10.0, 21.0, 2.0]","[171.0, 176.55269941693467, 214.05538713582197, 167.40359922257957, 164.8118667919715, 86.0]",-1,,[],"[5.0, 40.0, 57.0, 67.0, 88.0, 90.0]","[0.0, 5.0, 40.0, 57.0, 67.0, 88.0]","[1.0, 2.0, 3.0, 2.0, 1.5, 1.0]","[4, 3, 3, 3, 3, 1]","[5, 4, 4, 3, 4, 2]","[2.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[3.0, 1.0, 2.0, 1.0, 2.0, 2.0]","[0, 0, 0, 0, 0, 0]",2007-12-31 08:45,35,7,0.0,90.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
18091,"[5.0, 7.0, 26.0, 10.0, 9.0, 16.0, 6.0, 1.0, 5.0, 14.0]","[211.75, 171.0, 296.0, 211.75, 158.0, 167.40359922257957, 114.6275, 180.26846237860732, 114.6275, 114.6275]",3,10.0,"[9.0, 16.0, 6.0, 1.0, 5.0, 14.0]","[5.0, 12.0, 38.0, 48.0, 57.0, 73.0, 79.0, 80.0, 85.0, 99.0]","[0.0, 5.0, 12.0, 38.0, 48.0, 57.0, 73.0, 79.0, 80.0, 85.0]","[2.0, 1.0, 4.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0]","[4, 4, 4, 4, 4, 3, 2, 2, 2, 2]","[5, 5, 4, 5, 4, 3, 3, 3, 3, 3]","[1.0, 2.0, 2.0, 1.0, 1.0, 0.25, 0.5, 0.5, 0.5, 0.5]","[2.0, 4.0, 4.0, 2.0, 2.0, 0.5, 1.0, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-01-14 09:30,32,3,1.0,48.0,1.0,3.5,100.9123351677189,"[158.0, 167.40359922257957, 114.6275, 180.26846237860732, 114.6275, 114.6275]","[(158.0, 90.0), (167.40359922257957, 160.0), (114.6275, 60.0), (180.26846237860732, 10.0), (114.6275, 50.0), (114.6275, 140.0)]",1.0,2,6,"[9.0, 16.0, 6.0, 1.0, 5.0, 14.0]","[158.0, 167.40359922257957, 114.6275, 180.26846237860732, 114.6275, 114.6275]"
