layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
7.0,0.0,5.0,7,4,1.0,2.0,1
12.0,7.0,2.0,4,5,1.0,2.0,0
32.0,12.0,4.0,4,7,1.5,2.5,0
47.0,32.0,1.5,4,5,1.0,2.5,0
48.0,47.0,4.0,7,4,1.0,1.5,1
56.0,48.0,1.0,4,9,1.0,1.5,0
56.2,56.0,2.5,7,7,0.5,0.75,1
57.0,56.2,1.5,4,4,0.75,1.0,0
64.0,57.0,3.5,3,4,0.5,0.5,0
80.0,64.0,2.0,4,3,0.5,0.75,0
89.7,80.0,1.0,4,3,0.5,0.75,0
90.0,89.7,3.0,7,7,0.5,0.5,1
93.0,90.0,1.0,3,4,0.5,1.0,0
94.0,93.0,3.0,3,3,0.25,0.5,0
97.3,94.0,1.0,3,4,0.5,0.75,0
97.5,97.3,2.5,3,7,0.5,0.5,1
98.0,97.5,1.0,6,6,3.0,4.0,0
