layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,2.5,9,9,1.0,2.0,0
32.0,10.0,2.0,4,4,1.0,4.0,0
45.0,32.0,2.5,9,4,1.0,2.0,0
60.0,45.0,4.0,9,9,1.0,2.0,0
63.0,60.0,1.0,5,4,1.0,4.0,0
70.0,63.0,3.0,4,3,0.25,1.5,0
75.0,70.0,2.5,4,3,0.25,1.25,0
83.0,75.0,3.0,3,4,0.25,1.0,0
92.0,83.0,2.5,3,4,0.25,1.0,0
94.9,92.0,3.0,3,3,0.25,0.5,0
95.0,94.9,1.0,6,6,1.0,1.0,0
105.0,95.0,1.0,2,2,0.5,2.0,0
106.0,105.0,3.0,3,3,0.25,0.5,0
107.5,106.0,1.0,2,3,0.25,1.25,0
108.0,107.5,3.0,3,3,0.25,0.5,0
