profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,S_skier,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
3813,2002-02-08 09:30,40,3,1.0,78.0,1.0,3.0,1.0,120.0,0,109.37,43.83,2.39,0.0,0.96,0.0,5,163.4,16.26,63,68.36820083682008,65.63347280334727,65.54,141.92905096124503,346.8201708059328,50.63437514574823,160.075027442371,166.8940411700975,0.29,0.07000000000000028,0.0,1.0553908327354073,2.56,0.49,-0.5462,0.23241017910027417,0.26687030996456235,0.5642397168147121,0.49292007673516725,1.175446969515469,0.10132231283397632,34195.569190165545,0.3464312828614043,-0.26,3.75
4151,2002-12-17 10:30,30,2,1.0,50.0,1.0,3.0,1.0,100.0,0,103.02,77.11,1.25,0.0,0.47,0.0,4,124.8,4.598,11,99.84,46.9248,25.909999999999997,186.1408722500965,611.9160331069978,55.488358975431055,182.27446264073694,210.75639269406392,0.19,0.9099999999999999,0.0,4.3304581447963795,1.11,0.27,-0.3656,0.5878874233204158,0.39738019314268047,0.11061681533335933,0.263558562382628,0.12248424488818568,0.3296175008765396,38887.39503807051,0.4646407590012379,-1.14,3.21
4993,2003-12-13 09:20,34,4,2.0,118.0,3.0,1.0,0.0,120.0,0,115.07,108.71,0.99,0.26,0.33,0.0,4,141.1,20.04,14,142.5252525252525,47.03333333333334,6.359999999999999,93.4,69.18518518518518,26.29037037037037,93.4,0.0,0.2,-0.3600000000000001,0.0,0.48542404913772746,6.0,0.36,-0.04197,2.3949942041245285,3.5884012685667,6.0,6.0,50.0,0.1023257925886487,5036.4,0.005932535509794753,-0.02,6.0
4836,2004-01-25 09:15,36,2,2.0,141.0,1.0,3.0,1.0,147.0,0,154.49,124.17,0.55,0.42,0.22,0.03,4,164.0,9.042,10,298.18181818181813,65.6,30.320000000000007,125.74218337730869,289.20146552391645,42.6980147514066,140.90503875968997,145.52736156351793,0.28,-0.010000000000000009,0.0,0.9354311846689896,2.07,0.49,-0.2516,0.5023800507332443,0.6519411583769712,0.0725701921880106,6.0,0.07463155362003009,0.34162491557102076,15883.838383838383,0.07142298776348484,-0.34,6.0
5472,2005-03-11 11:00,36,2,1.0,103.0,1.0,3.0,1.0,121.0,1,127.58,116.09,1.71,0.12,0.58,0.0,5,84.7,2.752,18,49.53216374269006,28.728654970760232,11.489999999999995,97.23289817232366,130.83560442116539,19.72830360734163,97.23289817232366,100.99581205311534,0.27,0.26,-0.3999999999999999,2.520131905711843,6.0,0.12,-0.07885,1.325688697844384,1.1589767629485859,6.0,6.0,50.0,0.061912052168681134,20307.859690844234,0.1996965242110345,-0.32,6.0
5379,2004-12-30 10:30,40,2,2.0,55.0,1.0,3.0,1.0,92.0,1,94.05,63.9,0.75,0.38,0.21,0.0,4,191.0,17.84,10,254.66666666666666,53.48,30.15,143.35598673300166,213.89226464880898,42.5644292969501,161.60876288659796,182.68972533062055,0.25,-0.10999999999999999,0.0,0.8364787531961525,2.21,0.68,-0.2666,0.5052127077357206,0.6696345050102613,0.21396370813429494,6.0,0.22990825191532732,0.33219133463650985,28161.57518908185,0.26284149336477286,-0.18,5.41
5260,2004-03-27 13:30,31,6,3.0,74.0,3.0,1.0,0.0,90.5,0,111.94,75.77,1.04,0.0,0.41,0.0,4,189.2,43.7,32,181.9230769230769,74.58846153846153,36.17,165.61222007188277,201.79490482028112,64.57098120502974,188.22221041445272,192.049375,0.22,0.08000000000000007,0.0,1.0770348837209303,2.48,0.66,-0.4492,0.4211269875098693,0.4800512121479317,0.4812016178340776,0.35444882365846714,0.6139771426506354,0.32097635057565216,23935.99984234958,0.15169084714825096,-0.08,5.33
5843,2005-01-25 13:00,37,3,1.0,84.0,1.0,3.0,1.0,100.0,0,102.56,62.79,1.5,0.07,0.57,0.0,5,144.6,14.54,22,96.39999999999999,54.947999999999986,39.77,141.0984158913754,365.38545169603447,47.04237690197763,166.15809575040342,173.74249394673123,0.27,0.76,0.0,2.310194011438825,1.25,0.38,-0.3527,0.3830063650548648,0.3924930914375631,0.2600807441050669,0.24387395354581648,0.31857589470140435,0.15871765452824385,30531.509695290864,0.3860949058812853,-0.29,5.79
5842,2005-01-21 15:00,31,1,1.0,55.0,1.0,3.0,1.0,86.0,1,89.61,57.96,1.59,0.03,0.54,0.0,5,122.1,9.283,18,76.79245283018867,41.467924528301886,31.65,121.24783570300158,387.6364859963249,32.456796152574064,117.49328282828282,130.95435466946486,0.28,0.91,0.0,1.8575661222720048,1.06,0.26,-0.2871,0.48126897751127884,0.48461412078823285,0.05959518971523692,0.05617422736892735,0.06230237894564406,0.10724831100004979,40309.086819613134,1.1427439853238064,-0.44,6.0
6224,2006-02-19 11:46,35,2,1.0,103.0,1.0,3.0,1.0,152.0,0,139.92,99.15,1.36,0.16,0.37,0.0,4,146.6,12.15,9,107.79411764705881,39.88382352941176,40.76999999999998,152.00434142752022,419.34819016105257,53.41955215676013,174.25536018150876,178.9297198538368,0.25,1.06,-0.5,5.850659390632106,1.31,0.39,-0.4103,0.3736120465595287,0.3607457908619959,0.30889952075663046,0.3302275707181681,0.403770623002523,0.20399608105805198,69292.44704163625,3.769793839376929,-0.46,4.0
6166,2005-12-13 10:10,34,2,1.0,15.0,1.0,3.0,1.0,64.0,1,83.52,41.99,1.14,0.21,0.42,0.0,4,177.6,21.06,18,155.78947368421055,65.43157894736842,41.529999999999994,143.2160125210691,351.0150615453749,58.34161350489153,183.5658931462493,191.44211663066952,0.29,0.7499999999999999,-0.5,3.39050589050589,1.39,0.58,-0.4134,0.36677493711129244,0.45327081546254094,0.38475244921232793,0.1611309886991258,0.4771088606423327,0.21662998411974999,29145.08348794062,0.2399080232137794,-0.19,4.56
