"date","hydrYear","slfCode","aspect","region","elevation","lon","lat","HS","AvD","sumAvalanches","maxAvalancheSize","medianAvalancheSize","p_decisive","z_decisive","gt_decisive","p_deepestUnstable","z_deepestUnstable","gt_deepestUnstable","z_pp","z_hn24","z_hn72","sn38","z_sn38"
"2019-12-13",2020,"KLO3","E","Davos-Zuoz",2299,9.93167229569342,46.8412712603804,68.36,1,1,1,1,0.913510681425621,40.9,"pg",0.84360453063197,48.87,"pg",38.55,2.057,16.855,1.67,41.71
"2019-12-14",2020,"FNH2","E","elsewhere",2252,6.96410423112248,46.1007599043094,220.72,1,1,3,3,0.907745421245421,114.86,"pg",0.865495421245421,117.09,"pg",112.88,36.616,69.324,1,75.05
"2019-12-14",2020,"ROT3","E","elsewhere",2495,9.60438596843145,46.7331165395744,140.84,1,1,2,2,0.901057921245421,39.1,"hn",0.793181045783485,77.15,"pg",53.4,13.745,42.429,1.09,54.26
"2019-12-14",2020,"WFJ2","E","Davos-Zuoz",2536,9.80928943600516,46.8296382941581,94.32,1,1,2,2,0.861246792536732,38.12,"pg",0.815731757571696,47.75,"pg",36.23,11.255,19.555,1.44,39.29
"2019-12-15",2020,"WFJ2","E","Davos-Zuoz",2536,9.80928943600516,46.8296382941581,92.63,1,3,2,2,0.876052348092287,37.15,"pg",0.820532352809792,42.94,"pg",35.27,0,11.255,1.57,38.26
"2019-12-24",2020,"CON2","E","elsewhere",2229,7.27420875750933,46.2897395710704,186.79,1,1,4,4,0.886747023809524,82.55,"hn",0.780036005661006,169.31,"pg",130.39,36.028,117.629,0.85,119.03
"2019-12-24",2020,"CON2","S","elsewhere",2229,7.27420875750933,46.2897395710704,189.72,1,1,4,4,0.901747023809524,61.3,"hn",0.858827672327672,125.26,"pg",96.37,36.028,117.629,1.09,84.2
"2019-12-24",2020,"FNH2","E","elsewhere",2252,6.96410423112248,46.1007599043094,270.85,1,6,4,3,0.939983426295926,108.54,"pg",0.789412087912088,111.98,"hn",150.84,20.083,118.862,0.87,230.02
"2019-12-24",2020,"FNH2","S","elsewhere",2252,6.96410423112248,46.1007599043094,164.49,1,3,4,3,0.922893148518149,97.62,"pg",0.800037087912088,99.88,"pg",89.68,20.083,118.862,1.04,87.37
"2019-12-24",2020,"GOR2","E","elsewhere",2953,7.78359911385216,45.9871921623904,108.98,1,1,3,3,0.954686006100945,88.11,"pg",0.919290172767612,97.78,"pg",55,15.914,47.807,1.27,90.28
"2019-12-24",2020,"LAU2","E","elsewhere",1970,7.37986767040874,46.4260294507536,91.9,1,1,2,2,0.763622023809524,10.08,"hn",NA,10.08,"",44.39,13.874,38.015,1.91,32.38
"2019-12-24",2020,"LAU2","S","elsewhere",1970,7.37986767040874,46.4260294507536,35.09,1,1,2,2,0.766364159891599,31.55,"pg",NA,31.55,"",30.04,13.874,38.015,2.21,32.66
"2019-12-24",2020,"PAR2","E","Davos-Zuoz",2290,9.80484494583298,46.8517249839739,82.83,1,2,2,2,0.867453265230704,52.18,"pg",0.867453265230704,52.18,"pg",22.92,2.327,28.515,1.71,53.3
"2019-12-24",2020,"VDS2","E","elsewhere",2385,7.36750511962445,46.3215111310242,180.37,1,1,4,4,0.898413690476191,72.73,"hn",0.818162087912088,133.61,"pg",127.01,25.922,103.228,0.88,109.73
"2019-12-24",2020,"VDS2","S","elsewhere",2385,7.36750511962445,46.3215111310242,203.55,1,1,4,4,0.919119338994339,112.35,"pg",0.799412087912088,114.31,"pg",96.49,25.922,103.228,1.2,75.19
"2019-12-25",2020,"NAS2","E","elsewhere",2350,10.2553213936194,46.8150383026398,164.62,1,2,3,2.5,0.914614848092287,102.39,"pg",0.881799894549894,106.65,"pg",78.43,37.987,65.916,1.16,72.87
"2019-12-25",2020,"SMN2","E","elsewhere",2512,10.338340429264,46.9563804668955,150.01,1,1,2,2,0.989253340155779,119.91,"pg",0.836606277056277,147.72,"pg",82.15,38.871,93.729,1.03,120.57
"2019-12-25",2020,"VIN2","E","elsewhere",2729,10.4428468878887,46.9317670954854,160.9,1,2,3,3,0.965494338994339,112.76,"pg",0.775577672327672,130.88,"pg",90.25,43.113,98.555,0.79,126.06
"2019-12-27",2020,"FLU2","E","Davos-Zuoz",2394,9.94644506119759,46.7527121108172,30.9,1,1,3,3,0.261708333333333,18,"pg",NA,18,"",0,0,0,3.12,24
"2019-12-28",2020,"HTR2","S","elsewhere",2147,9.20433545466491,46.5443794251159,122.14,1,1,2,2,0.476154581529581,19.73,"hn",NA,19.73,"",41.34,0,0,2.14,71.29
"2019-12-28",2020,"PUZ2","S","elsewhere",2196,8.86245523673698,46.626351811613,101.08,1,1,2,2,0.507552398989899,52.78,"pg",NA,52.78,"",51.48,2.001,6.4,2.51,52.78
"2019-12-28",2020,"TUJ2","S","elsewhere",2262,8.72375109940852,46.6838803108833,72.17,1,5,3,2,0.700475732600732,25.16,"other",NA,25.16,"",15.46,2.198,18.455,2.61,65.78
"2019-12-28",2020,"VDS2","E","elsewhere",2385,7.36750511962445,46.3215111310242,178.12,1,1,2,2,0.904913690476191,37.66,"hn",0.838684523809524,46.07,"hn",121.58,5.059,39.724,1.17,165.83
"2020-01-01",2020,"VDS2","E","elsewhere",2385,7.36750511962445,46.3215111310242,152.51,1,1,3,3,0.446309523809524,7.31,"hn",NA,7.31,"",91.22,0,0,1.26,140.53
"2020-01-01",2020,"VDS2","S","elsewhere",2385,7.36750511962445,46.3215111310242,156.57,1,3,3,3,0.306916666666667,71.28,"pg",NA,71.28,"",8.08,0,0,1.35,104.33
"2020-01-06",2020,"PMA2","W","elsewhere",2429,9.53738768920731,46.5800763351247,87.63,1,3,3,3,0.212345238095238,47.1,"other",NA,47.1,"",0,0,0,1.9,70.07
"2020-01-13",2020,"ALB2","E","Davos-Zuoz",2322,9.83622434620262,46.5809457020288,103.51,0,NA,NA,NA,0.318375,95.17,"pg",NA,95.17,"",0,0,0,1.44,95.96
"2020-01-13",2020,"ALB2","N","Davos-Zuoz",2322,9.83622434620262,46.5809457020288,109.17,0,NA,NA,NA,0.322125,102.33,"pg",NA,102.33,"",0,0,0,1.33,103.11
"2020-01-13",2020,"ALB2","W","Davos-Zuoz",2322,9.83622434620262,46.5809457020288,109.31,0,NA,NA,NA,0.374791666666667,105.45,"pg",NA,105.45,"",0,0,0,1.32,106.12
"2020-01-13",2020,"ATT2","E","elsewhere",2550,7.26991849106118,46.105287470923,130.8,0,NA,NA,NA,0.477291666666667,109.25,"pg",NA,109.25,"",0,0,0,1.14,111.77
"2020-01-13",2020,"BEV2","E","Davos-Zuoz",2512,9.83709063278609,46.5395643240313,117.5,0,NA,NA,NA,0.0960416666666667,42.58,"pg",NA,42.58,"",0,0,0,1.63,101.18
"2020-01-13",2020,"BOR2","S","elsewhere",2517,8.10930225320016,46.2905311776728,335.6,0,NA,NA,NA,0.310208333333333,316.54,"pg",NA,316.54,"",0,0,0,0.52,316.54
"2020-01-13",2020,"CON2","E","elsewhere",2229,7.27420875750933,46.2897395710704,145.66,0,NA,NA,NA,0.352583333333333,7,"pg",NA,7,"",0.789999999999992,0,0,1.45,129.86
"2020-01-13",2020,"CON2","S","elsewhere",2229,7.27420875750933,46.2897395710704,135.18,0,NA,NA,NA,0.1955,110.78,"other",NA,110.78,"",0,0,0,1.84,75.75
"2020-01-13",2020,"DAV2","E","Davos-Zuoz",2558,9.81941136139983,46.6988889844443,105.79,0,NA,NA,NA,0.333958333333333,66.7,"pg",NA,66.7,"",0,0,0,1.43,94.91
"2020-01-13",2020,"DAV2","N","Davos-Zuoz",2558,9.81941136139983,46.6988889844443,67.78,0,NA,NA,NA,0.242729166666667,16.95,"pg",NA,16.95,"",0,0,0,2.28,58.7
"2020-01-13",2020,"DAV2","S","Davos-Zuoz",2558,9.81941136139983,46.6988889844443,45.3,0,NA,NA,NA,0.287291666666667,36.66,"other",NA,36.66,"",0,0,0,5.71,43.36
"2020-01-13",2020,"DAV3","E","Davos-Zuoz",2455,9.77399051394934,46.788833109079,129.37,0,NA,NA,NA,0.370625,70.67,"pg",NA,70.67,"",0,0,0,1.24,110.26
"2020-01-13",2020,"DAV3","N","Davos-Zuoz",2455,9.77399051394934,46.788833109079,89.3,0,NA,NA,NA,0.389895833333333,28.85,"pg",NA,28.85,"",0,0,0,1.92,77.83
"2020-01-13",2020,"DAV3","S","Davos-Zuoz",2455,9.77399051394934,46.788833109079,97.27,0,NA,NA,NA,0.307541666666667,85.96,"pg",NA,85.96,"",0,0,0,1.45,85.96
"2020-01-13",2020,"DAV3","W","Davos-Zuoz",2455,9.77399051394934,46.788833109079,83.82,0,NA,NA,NA,0.217541666666667,66.5,"pg",NA,66.5,"",0,0,0,1.93,67.94
"2020-01-13",2020,"DAV4","E","Davos-Zuoz",2330,9.78470275758155,46.7841947486778,130.41,0,NA,NA,NA,0.290863095238095,55.75,"pg",NA,55.75,"",0,0,0,1.32,110.24
"2020-01-13",2020,"DAV4","N","Davos-Zuoz",2330,9.78470275758155,46.7841947486778,145.57,0,NA,NA,NA,0.268625,2.91999999999999,"pg",NA,2.91999999999999,"",0,0,0,1.27,123.82
"2020-01-13",2020,"DAV4","W","Davos-Zuoz",2330,9.78470275758155,46.7841947486778,126.3,0,NA,NA,NA,0.252633928571429,54.22,"pg",NA,54.22,"",0,0,0,1.32,107.98
"2020-01-13",2020,"ELA2","E","Davos-Zuoz",2726,9.71469450872067,46.5914252255484,152.96,0,NA,NA,NA,0.203291666666667,87.64,"pg",NA,87.64,"",2.78,0,0,1.26,139.43
