"triggerDateTime","coordX","coordY","startZoneElevation","startZoneAspect","fractureThicknessMean","size"
"2017-03-01 08:30:00",189210.4064493,734355.232277297,2334.6,"NE",20,2
"2010-02-09 07:30:00",131000.007014398,643799.896176376,2500,"E",30,2
"2019-02-02 07:00:00",165109.041760521,791558.704372353,2251,"NE",50,2
"2010-02-17 13:30:00",174050.006287258,600099.980247543,1800,"SW",50,2
"2006-01-06 11:00:00",154485.931811137,780086.00871274,2140,"E",30,1
"2017-02-06 16:30:00",166005.986939503,791092.0017859,2700,"SE",40,2
"2010-02-22 11:00:00",164589.997420502,793350.011596445,2750,"E",30,3
"2017-03-10 16:30:00",190991.859455651,780982.219303847,2549.9,"NE",80,3
"2020-01-09 21:49:00",134984.692989729,639159.694094369,2471,"NE",100,2
"2020-03-07 14:20:00",184965.123796904,786607.831471846,2231,"SW",20,1
"2001-02-10 11:10:00",161434.375235516,726999.904205809,2880,"NW",70,3
"2019-02-02 07:30:00",188862.328288355,735524.759249551,2220,"NE",30,2
"2007-03-03 10:00:00",199724.886769847,717999.989084147,2200,"NE",200,4
"2008-12-09 10:15:00",181955.963425869,784867.943306593,2570,"N",30,2
"2017-12-11 23:00:00",165154.936110461,790406.301940909,2520,"E",30,2
"2020-01-18 07:00:00",215223.828755084,793064.218158492,2424,"S",15,1
"2014-01-27 09:30:00",129708.04199365,601842.972824248,2450,"N",50,3
"2019-01-28 07:10:00",191565.909757993,697148.982381967,1969,"S",20,1
"2015-04-04 09:30:00",184489.774967741,783879.978063665,2260,"NE",80,4
"2002-11-12 11:00:00",199939.886872215,717929.989538497,2450,"E",80,3
"2021-01-14 06:30:00",164759.000429367,733712.120710509,1287,"NW",45,2
"2010-03-15 12:30:00",98404.6260430555,632019.470163495,2980,"NW",50,2
"2020-12-07 08:00:00",165926.380112428,733742.795905563,1316,"E",50,1
"2019-03-29 15:00:00",173188.482145641,798084.480677593,2628,"S",30,2
"2020-01-24 11:00:00",115364.755571004,604389.360640097,2600,"NE",20,2
"2013-03-06 16:30:00",141275.996716897,642501.91509954,2400,"E",100,2
"2021-01-22 08:00:00",136278.079540539,567859.152382476,1903,"SE",70,2
"2020-12-31 07:00:00",106176.494696169,586398.774506851,2588,"N",40,2
"2003-02-07 14:50:00",205499.857890084,782880.190646627,1800,"NW",100,3
"2009-01-01 10:00:00",147000.019043778,588199.995023464,2200,"E",60,3
"2020-12-15 11:00:00",135492.638409796,603367.053726146,2737,"W",80,3
"2017-12-21 03:00:00",209542.09199198,716538.007840389,NA,"SE",60,2
"2009-04-17 10:30:00",89559.7150268512,631179.411103276,3420,"NW",20,2
"2008-04-07 11:30:00",144650.021617181,604349.971805456,2250,"NE",100,3
"2022-02-03 08:58:00",99975.8158876756,623681.248665553,3089,"SE",80,3
"2015-12-19 07:00:00",178433.391300753,791539.628856517,2912.8,"N",80,3
"2015-03-03 10:15:00",178399.957136944,661999.963263242,1980,"SE",60,3
"2005-01-22 11:28:00",127355.108730641,575129.321367256,1880,"NE",40,2
"2005-02-04 05:00:00",154485.931811137,780086.00871274,2320,"SE",50,2
"2011-03-01 09:20:00",103270.068192207,637059.857999548,2990,"NW",30,2
"2015-01-24 09:11:00",153149.931286696,780300.012044241,2960,"SW",20,1
"2017-03-24 11:40:00",149302.688804227,698157.28613942,1983.8,"N",60,2
"2007-12-22 15:30:00",170659.90016436,701769.940316668,2300,"SE",80,3
"2011-03-05 14:00:00",181955.963425869,784867.943306593,2460,"E",30,3
"2017-12-12 07:00:00",165500.139421816,791034.001914326,2530.7,"E",60,3
"2009-02-18 11:00:00",181955.963425869,784867.943306593,2250,"SE",50,3
"2014-02-21 17:00:00",199724.886769847,717999.989084147,2400,"NE",40,3
"2005-12-18 12:00:00",131000.007014398,643799.896176376,2280,"SE",50,2
"2010-02-08 14:15:00",180029.301305031,665830.021533245,2040,"NW",60,2
"2008-12-22 12:30:00",117100.140336087,575799.161234076,2200,"NE",15,3
"2015-01-04 06:30:00",189610.409036831,780755.422964342,2646.7,"NE",50,3
"2001-02-28 14:30:00",141849.594959679,611769.690380621,2660,"NE",50,3
"2021-01-13 09:55:00",98573.0133885859,623137.018930653,2693,"E",50,4
"2021-01-11 11:00:00",156995.919070166,789514.433555441,2361,"NW",50,2
"2021-01-20 11:00:00",151202.191476505,773205.607626465,2701,"SE",100,2
"2007-12-05 11:30:00",196599.919684667,773406.921067047,2050,"E",50,3
"2022-01-09 05:04:00",181611.398793949,662974.096369469,1741,"NW",15,2
"2018-03-12 23:00:00",158655.535760156,791438.027338848,2558.1,"NE",30,3
"2021-04-02 10:56:00",146187.037926626,719839.73212532,2733,"NE",30,2
"2006-03-13 11:00:00",181955.963425869,784867.943306593,2360,"SE",50,3
"2021-12-11 05:00:00",104277.499775997,586813.174217393,2483,"W",20,1
"1993-04-09 09:45:00",142399.879330357,792699.426627334,2730,"NE",30,2
"2017-03-03 10:00:00",101075.250131228,559785.123444819,2519,"E",80,3
"2003-02-27 12:00:00",171609.768869923,786239.82561721,2850,"SE",100,3
"2020-12-30 08:15:00",135481.748963529,603759.49847209,2920,"N",100,3
"2021-12-09 11:00:00",184831.651268143,778561.270671221,2522,"NE",30,3
"2021-04-13 12:00:00",149948.957097669,786144.896248663,2761,"N",20,2
"2016-02-03 15:00:00",108656.647010337,565775.37745229,2216.3,"S",50,2
"2015-03-05 07:00:00",105141.284345912,561878.089849499,2594.5,"SE",60,3
"2021-12-09 11:35:00",166092.662829204,733682.437166276,1363,"E",35,1
"2006-03-25 09:23:00",107849.870169461,598399.219478978,2425,"NW",50,2
"2019-02-04 08:00:00",145739.662222918,775646.508163675,2915,"E",30,2
"2017-12-01 07:00:00",192198.561850937,779833.584857758,2281.5,"NE",40,2
"2020-12-26 06:30:00",104087.200216481,586619.574937253,2463,"NW",20,2
"2014-01-15 13:40:00",148610.952169545,669708.903439043,2200,"N",50,3
"2019-12-29 11:00:00",137342.514071615,570572.667720112,1954,"SW",50,2
"2015-01-28 11:00:00",190143.031967219,780232.547225806,2645.6,"E",50,2
"2002-12-16 23:00:00",156726.009011593,612569.966174744,2230,"E",50,4
"2015-01-10 11:00:00",155862.443461014,791140.398066607,2757.7,"SW",30,2
"2020-03-12 03:00:00",168411.276384714,800592.497877148,2609,"NW",60,3
"2001-01-21 12:30:00",152029.4745727,624309.825796013,2510,"NE",15,1
"2014-12-21 11:00:00",154915.944313034,783436.017178315,2970,"E",30,2
"2015-01-28 11:00:00",190801.659097872,780868.919906159,2590.7,"W",30,3
"2022-04-10 10:00:00",80937.4681076609,577922.728151241,2820,"N",50,2
"2006-02-11 13:15:00",114380.165936679,575099.111731636,2640,"NE",40,3
"2009-12-21 10:40:00",98213.4849809081,563330.720116772,2150,"N",80,3
"2019-01-13 04:15:00",184640.95940367,661344.974493716,1730,"NW",50,2
"2021-12-04 23:00:00",105635.396197773,586728.073771546,2660,"E",40,1
"2021-01-26 08:15:00",133993.493852706,605546.060415626,2646,"S",180,3
"2021-01-29 08:00:00",231600.322253959,746892.505315737,1835,"SE",100,3
"2018-12-24 07:00:00",215241.529617891,793249.017274289,2431,"SE",35,2
"2015-02-02 03:00:00",165836.869169986,589399.92812296,1780,"NW",50,3
"2014-12-30 17:50:00",228329.676762829,738730.048154363,950,"SE",75,2
"2009-02-13 14:00:00",157669.872269446,744924.939837252,2100,"SE",130,2
"2011-03-20 13:00:00",208949.588221453,742400.044750532,2210,"NW",60,3
"2010-02-21 10:40:00",181955.963425869,784867.943306593,2520,"NW",40,3
"2011-12-08 08:20:00",130487.04079383,601575.973516962,2750,"SE",40,2
"2013-05-27 09:00:00",175032.945212295,670182.955017175,2880,"SE",60,3
"2016-01-15 06:45:00",153149.931286696,780300.012044241,2780,"NE",30,2
"2008-11-29 10:30:00",177399.895291784,761699.951434796,2380,"NE",60,2
"2018-03-08 05:00:00",96870.7500224338,565171.293175859,2636.4,"NW",60,4
"2022-02-03 07:30:00",160064.138080813,787338.889346988,2550,"SE",60,2
"2006-02-19 20:30:00",148749.961868389,663349.907973988,2300,"NE",100,4
"2022-01-30 11:00:00",176060.03986371,800747.315298803,2320,"E",40,1
"2009-01-11 14:00:00",157669.872269446,744924.939837252,2100,"S",60,2
"2008-04-08 11:00:00",203450.181663866,828200.545275993,2260,"N",130,2
"2015-01-10 07:00:00",168886.100262995,756695.955854161,2358.2,"NE",50,2
"2022-02-03 06:00:00",162363.221029174,727856.326932976,2610,"E",50,2
"2006-03-09 09:00:00",202899.896191949,764549.931048124,2100,"NW",50,4
"2016-02-01 11:00:00",112206.611373575,635321.579468354,2779.6,"E",40,3
"2016-01-15 09:00:00",193204.495343893,736584.615006463,2227.6,"E",60,2
"2018-03-28 22:00:00",162751.863684685,796046.023624034,2531.6,"SW",70,3
"2006-01-04 16:00:00",202899.896191949,764549.931048124,2300,"NW",40,3
"2009-02-06 12:10:00",94129.7368065475,621939.331089636,2180,"E",20,2
"2010-01-23 11:15:00",196719.501293456,737110.006855701,3000,"SW",20,3
"2021-01-15 10:25:00",164378.744267846,733613.318734695,1296,"W",55,1
"2003-03-04 14:20:00",108069.84374176,600454.241464936,2400,"NW",60,3
"2007-01-03 23:00:00",206338.915080178,773914.906314566,2060,"NE",30,2
"2004-12-30 11:55:00",150009.65912882,605274.757610643,2290,"NW",50,2
"2019-01-09 08:00:00",228415.865217611,746607.995820508,1805,"E",80,3
"2007-12-05 12:30:00",164499.873257642,733349.936298275,2540,"W",30,2
"2002-01-27 12:00:00",148999.531495754,617799.781584212,2250,"NW",40,2
"2021-01-16 14:40:00",160824.731105768,728188.030982219,2416,"SE",50,3
"2011-12-29 12:50:00",155334.734015121,780129.673407522,2995,"E",80,2
"2006-12-07 09:00:00",181955.963425869,784867.943306593,2600,"NE",10,1
"2009-01-21 13:00:00",170659.90016436,701769.940316668,1840,"NE",120,3
"2020-12-12 23:00:00",115527.769586049,573832.11830795,2497,"NE",30,3
"2011-12-11 11:30:00",172699.357510267,721469.943678893,2800,"NE",30,2
"2014-02-11 08:45:00",141275.996716897,642501.91509954,2800,"E",80,2
"2003-01-24 05:00:00",104638.06128096,639516.854172599,3620,"NW",50,3
"2021-01-15 02:00:00",127146.999268647,593339.040453862,2387,"NE",60,3
"2021-03-16 15:00:00",108850.373034651,564694.534878143,2562,"SE",180,3
"1995-01-15 13:00:00",144159.725007453,774349.618448866,2240,"SE",50,3
"2017-02-19 11:00:00",212079.560934516,734965.036686368,2280,"NE",20,2
"2008-03-15 07:15:00",96439.942170929,599579.092003162,2920,"E",80,2
"2009-03-13 09:30:00",170659.90016436,701769.940316668,1850,"SE",40,3
"2016-01-13 06:00:00",189564.582225043,780531.733308317,2681.9,"SE",40,1
